Age,SibSp,Parch,Fare,Sex_female,Sex_male,Harbor_C,Harbor_Q,Harbor_S,Class_1,Class_2,Class_3
34.5,0,0,7.8292,0,1,0,1,0,0,0,1
47.0,1,0,7.0,1,0,0,0,1,0,0,1
62.0,0,0,9.6875,0,1,0,1,0,0,1,0
27.0,0,0,8.6625,0,1,0,0,1,0,0,1
22.0,1,1,12.2875,1,0,0,0,1,0,0,1
14.0,0,0,9.225,0,1,0,0,1,0,0,1
30.0,0,0,7.6292,1,0,0,1,0,0,0,1
26.0,1,1,29.0,0,1,0,0,1,0,1,0
18.0,0,0,7.2292,1,0,1,0,0,0,0,1
21.0,2,0,24.15,0,1,0,0,1,0,0,1
28.89383247768098,0,0,7.8958,0,1,0,0,1,0,0,1
46.0,0,0,26.0,0,1,0,0,1,1,0,0
23.0,1,0,82.2667,1,0,0,0,1,1,0,0
63.0,1,0,26.0,0,1,0,0,1,0,1,0
47.0,1,0,61.175,1,0,0,0,1,1,0,0
24.0,1,0,27.7208,1,0,1,0,0,0,1,0
35.0,0,0,12.35,0,1,0,1,0,0,1,0
21.0,0,0,7.225,0,1,1,0,0,0,0,1
27.0,1,0,7.925,1,0,0,0,1,0,0,1
45.0,0,0,7.225,1,0,1,0,0,0,0,1
55.0,1,0,59.4,0,1,1,0,0,1,0,0
9.0,0,1,3.1708,0,1,0,0,1,0,0,1
41.02824870441472,0,0,31.6833,1,0,0,0,1,1,0,0
21.0,0,1,61.3792,0,1,1,0,0,1,0,0
48.0,1,3,262.375,1,0,1,0,0,1,0,0
50.0,1,0,14.5,0,1,0,0,1,0,0,1
22.0,0,1,61.9792,1,0,1,0,0,1,0,0
22.5,0,0,7.225,0,1,1,0,0,0,0,1
41.0,0,0,30.5,0,1,0,0,1,1,0,0
17.937747721922115,2,0,21.6792,0,1,1,0,0,0,0,1
50.0,1,0,26.0,0,1,0,0,1,0,1,0
24.0,2,0,31.5,0,1,0,0,1,0,1,0
33.0,1,2,20.575,1,0,0,0,1,0,0,1
20.22029073946551,1,2,23.45,1,0,0,0,1,0,0,1
30.0,1,0,57.75,0,1,1,0,0,1,0,0
18.5,0,0,7.2292,0,1,1,0,0,0,0,1
25.921402847943277,0,0,8.05,1,0,0,0,1,0,0,1
21.0,0,0,8.6625,1,0,0,0,1,0,0,1
25.0,0,0,9.5,0,1,0,0,1,0,0,1
27.82128406186849,0,0,56.4958,0,1,0,0,1,0,0,1
39.0,0,1,13.4167,0,1,1,0,0,0,0,1
44.11056158141933,0,0,26.55,0,1,0,0,1,1,0,0
41.0,0,0,7.85,0,1,0,0,1,0,0,1
30.0,0,0,13.0,1,0,0,0,1,0,1,0
45.0,1,0,52.5542,1,0,0,0,1,1,0,0
25.0,0,0,7.925,0,1,0,0,1,0,0,1
45.0,0,0,29.7,0,1,1,0,0,1,0,0
31.35423921462313,0,0,7.75,0,1,0,1,0,0,0,1
60.0,0,0,76.2917,1,0,1,0,0,1,0,0
36.0,0,2,15.9,1,0,0,0,1,0,0,1
